id,gisjoin,dem_m,slope_deg,riverdist,roaddist,renters,total_pop,popden_sqk,area_sqkm,pecb5a65,medinc,dem_class,slope_class,soil_class,lulc_class,riverdist_class,road_class,renter_class,popden_class,b5a65_class,medinc_class,physical_comb,social_comb,both_indicator
0,G19011300002011,258.84,71.59,186.8,633.96,27.35,559,646,0.87,36.49,48565,1,3,2,2,5,4,2,2,4,4,2.6,3.2,2.78
1,G19011300002012,254.14,73.03,153.25,551.66,73.63,985,1548,0.64,32.99,43487,1,2,4,2,5,4,1,3,3,4,2.8,3,2.86
2,G19011300002013,255.59,70.18,257.88,254.2,56.74,1208,1121,1.08,26.24,60863,1,3,3,2,4,1,4,3,3,4,2.6,3,2.72
3,G19011300002014,257.27,71.17,427.83,273.83,21.87,2844,1484,1.92,21.38,75442,1,3,2,2,2,1,2,3,2,3,2,2.2,2.06
4,G19011300002051,238.98,69.64,239.77,376.02,2.6,3020,203,14.87,17.15,177303,1,4,2,2,4,2,1,1,2,1,2.6,1.4,2.24
5,G19011300002052,249.66,70.72,304.79,277.96,0,2043,265,7.7,28.05,126184,1,3,2,2,3,1,1,1,3,2,2.2,1.6,2.02
6,G19011300002091,257.61,76.19,229.4,380.71,2.16,1428,1503,0.95,23.04,171111,1,2,2,2,4,2,1,3,2,1,2.2,1.8,2.08
7,G19011300002092,253.44,78.15,215.44,558.42,5.58,1085,1414,0.77,24.98,95776,1,1,2,2,4,4,1,3,3,2,2,2.6,2.18
8,G19011300002093,251.89,76.23,244.07,346.71,0,2022,1442,1.4,18.5,199688,1,2,2,2,4,2,1,3,2,1,2.2,1.8,2.08
9,G19011300002111,258.49,73.06,161.07,161.04,10.24,1942,2385,0.81,30.95,92987,1,2,2,2,5,1,1,1,3,2,2.4,1.6,2.16
10,G19011300002112,263.65,71.15,275.85,292.72,6.47,2585,1136,2.28,21.66,127689,1,3,2,2,4,2,1,3,2,2,2.4,2,2.28
11,G19011300002113,265.34,67.08,314.19,288.18,5.14,1153,294,3.92,19.95,171818,1,4,2,2,3,2,1,1,2,1,2.4,1.4,2.1
12,G19011300002121,252.19,72.24,195.26,504.08,25.47,1358,1845,0.74,25.33,76908,1,3,2,2,5,3,2,4,3,3,2.6,3,2.72
13,G19011300002122,251.57,72.76,168.98,235.55,60.2,1655,1476,1.12,18.73,70461,1,3,2,2,5,1,4,3,2,3,2.6,2.6,2.6
14,G19011300002131,253.13,71.79,217.59,222.37,72.36,1060,944,1.12,38.58,77730,1,3,2,2,4,1,1,2,4,3,2.4,2.2,2.34
15,G19011300002132,253.37,66.17,340.48,172.02,98.93,1568,534,2.94,7.84,29718,1,4,2,2,3,1,1,1,1,5,2.4,1.8,2.22
16,G19011300003001,246.48,73.17,288.86,292.58,32.24,1093,1311,0.83,19.03,59661,1,2,2,2,3,2,3,3,2,4,2,2.8,2.24
17,G19011300003002,253.7,72.11,376.55,266.31,32.49,1028,646,1.59,26.26,36885,1,3,2,2,3,1,3,2,3,5,2.2,2.8,2.38
18,G19011300003003,248.11,74.07,192.67,328.17,48.33,2221,1993,1.11,17.33,105279,1,2,2,2,5,2,4,4,2,2,2.4,2.8,2.52
19,G19011300003004,245.67,73.52,172.71,452.99,21.92,1937,1322,1.47,30.56,107510,1,2,2,2,5,3,2,3,3,2,2.4,2.6,2.46
20,G19011300006001,248.51,76.8,166.03,646.9,30.79,1429,460,3.11,28.97,61076,1,2,2,2,5,4,2,1,3,4,2.4,2.8,2.52
21,G19011300006002,246.05,74.7,206.6,393.97,50.14,1255,615,2.04,38.33,51176,1,2,2,2,4,2,4,2,4,4,2.2,3.2,2.5
22,G19011300006003,251.87,74.96,363.01,304.88,29.2,570,1446,0.39,14.39,73553,1,2,2,2,3,2,2,3,1,3,2,2.2,2.06
23,G19011300007001,251.63,68.95,290.08,347.53,52.99,790,523,1.51,18.61,54811,1,4,2,2,3,2,4,1,2,4,2.4,2.6,2.46
24,G19011300007002,245.58,73.6,458.45,438.57,38.98,1609,1902,0.85,25.98,60247,1,2,2,2,2,3,3,4,3,4,1.8,3.4,2.28
25,G19011300008001,247.96,70.03,164.85,453,16.23,428,445,0.96,31.31,47700,1,3,2,2,5,3,2,1,3,4,2.6,2.6,2.6
26,G19011300008002,239.5,72.81,116.88,261.8,74.3,1790,1495,1.2,15.2,64710,1,3,2,2,5,1,1,3,1,4,2.6,2,2.42
